feature,mean_abs_shap
cc_elevatedbloodsugar_nosymptoms,0.00438768885242726
cc_armpain,0.00431884823142164
cc_hippain,0.004307466077457698
arrivalmonth_July,0.004232252006858385
arrivalday_Thursday,0.004150820080886665
cc_woundcheck,0.004145285231649392
arrivalmonth_August,0.004121126432864624
cc_elevatedbloodsugar_symptomatic,0.0040642727601798555
cc_eyepain,0.003988744070081806
cc_toepain,0.00395451743388992
cc_wristpain,0.0039260399159442684
cc_nasalcongestion,0.003906255959406707
cc_coldlikesymptoms,0.003868625595199033
cc_asthma,0.003820704948977956
cc_medicalproblem,0.003804215679156234
cc_extremitylaceration,0.0037759384284733527
cc_eyeproblem,0.0037521051341446445
arrivalday_Saturday,0.0036936023421741374
cc_uri,0.0036145149675868298
cc_constipation,0.003610517099270231
cc_emesis,0.003482507534258108
cc_chesttightness,0.0034472483068212823
cc_nausea,0.003385586920046814
cc_assaultvictim,0.003375817014833833
arrivalday_Sunday,0.003265133691067983
cc_ankleinjury,0.0032631425745797203
cc_abdominalpainpregnant,0.0032578240438606416
cc_fingerinjury,0.003246093071268209
arrivalmonth_May,0.0031228470001572915
cc_fingerpain,0.0030570339459370156
triage_vital_o2_device_0_0,0.0030229691136230323
cc_pelvicpain,0.003012126827973825
cc_animalbite,0.003003864712365046
cc_epigastricpain,0.0029850561686504567
cc_woundinfection,0.00294945075588208
cc_syncope,0.002947093697684889
cc_group_allergy,0.0029417784461709226
cc_urinaryretention,0.0029325679756551635
cc_psychiatricevaluation,0.0028178621863949667
cc_headache_recurrentorknowndxmigraines,0.0027849096357058637
cc_footpain,0.0027491808459535047
arrivalmode_Other,0.0027279336652915077
cc_footinjury,0.002655428512669085
cc_otalgia,0.0025799906008038267
cc_groinpain,0.002504472052489105
cc_depression,0.0024502063880453688
cc_medicalscreening,0.0024246992025748985
cc_stdcheck,0.0024083753348606474
cc_maleguproblem,0.0024036837937899493
cc_abdominalcramping,0.002361868372800955
gender_Male,0.0023510932486311064
o2_missing_flag,0.0023369843665115666
cc_skinproblem,0.0022856742956321335
cc_medicationproblem,0.0022693854095512333
cc_neurologicproblem,0.0022229437041368576
cc_headinjury,0.0021939428637187644
arrivalmonth_April,0.002161206084654075
arrivalmonth_October,0.0021522861699684857
arrivalmonth_June,0.0020896635849167607
cc_eyeredness,0.0020263502605752715
cc_post_opproblem,0.0020167061307030006
arrivalmonth_November,0.0019637611921837833
cc_ribpain,0.0019590243706055508
cc_cyst,0.0019508631541335058
arrivalmonth_December,0.0019308105543808544
cc_edema,0.0019280172948139464
cc_headachere_evaluation,0.0018665987687507967
cc_earproblem,0.0018483689809204635
cc_follow_upcellulitis,0.0018067403378255102
arrivalmode_Wheelchair,0.0017783225070774138
arrivalmonth_March,0.0017393895728420369
cc_tickremoval,0.0016847687019964194
cc_motorvehiclecrash,0.001672499503792303
cc_fingerswelling,0.0016710834340152362
cc_epistaxis,0.0016403186145466195
triage_vital_hr_missing_flag,0.001619487380548592
cc_handinjury,0.0016024104081430767
cc_dysuria,0.001581950826725003
cc_lossofconsciousness,0.0015621617075781589
cc_fever_75yearsorolder,0.001551510198206041
cc_burn,0.0015472448595465402
arrivalmonth_January,0.0015419416036552165
cc_diarrhea,0.0015355672312884379
arrivalmonth_September,0.0015304276098229471
cc_urinarytractinfection,0.0015230993572390222
cc_headache_newonsetornewsymptoms,0.0015083751023250592
triage_vital_sbp_missing_flag,0.0014700084812189736
cc_elbowpain,0.0014593740951604234
cc_multiplefalls,0.0014578830301432524
arrivalday_Monday,0.0014403608159267813
cc_dehydration,0.0013771184193038593
arrivalmonth_February,0.001375314850674254
cc_woundre_evaluation,0.0013583592959503482
cc_shoulderinjury,0.0013230393348698892
cc_testiclepain,0.001231800140499263
cc_conjunctivitis,0.001224318680343248
cc_kneeinjury,0.0012180334943236195
cc_facialpain,0.0011978511851085318
cc_vaginaldischarge,0.0011974082399148073
cc_headache,0.0011790900955714998
cc_sinusproblem,0.001153074546365655
cc_abdominaldistention,0.001146125017721643
cc_blurredvision,0.0011421459938873047
cc_footswelling,0.0010141509720547747
cc_foreignbodyineye,0.001002038845538002
cc_vaginalpain,0.0009775716810171298
cc_anxiety,0.000977556266844551
cc_generalizedbodyaches,0.000906007930646092
cc_rectalpain,0.0008065531919100945
cc_hemoptysis,0.0007967714022908473
cc_toeinjury,0.0007937898601631073
cc_wristinjury,0.0007647661655938632
arrivalmode_Public_Transportation,0.0007536031452827545
cc_numbness,0.0007122062157311585
cc_drugproblem,0.0006949040470152505
cc_allergicreaction,0.000685821501610383
cc_palpitations,0.0006526434885603827
cc_tachycardia,0.0005966280855125168
cc_suicidal,0.0005576321939520867
cc_rapidheartrate,0.0005547786667406352
cc_lethargy,0.000535033188526996
cc_mass,0.000532286155567724
cc_breathingproblem,0.0005284598683695592
cc_alcoholintoxication,0.0005279374076132207
cc_irregularheartbeat,0.0005196379435825596
cc_wheezing,0.0004761487301054358
cc_motorcyclecrash,0.0004659783349457622
cc_urinaryfrequency,0.0004507531281720802
cc_exposuretostd,0.00043998181841486755
cc_hypotension,0.00043547727375138536
cc_decreasedbloodsugar_symptomatic,0.00043061303272348255
